(62761204220100,345699)
(62761204223077,295675)
(62761204226054,656766)
(62761204229031,237892)
(62864844615381,180056)
(63358344256424,65422)
(63358344266424,52940)
(63358344271424,52944)
(63598246669674,333198)
(63598246670220,333276)
(63598246676057,333519)
(63598246681894,333520)
(63598246687731,333566)
(63598246693568,333689)
(63598246699405,333692)
(63598246705242,333775)
(63598246711079,333777)
(63598246716916,333882)
(63598246722753,333989)
(63598246728590,333995)
(63598246734427,111330)
(63598246740264,111668)
(63598246746101,111778)
(63598246751938,111886)
(63598246757775,111988)
(63598246763612,111998)
(63598246769449,222166)
(63598246775286,222168)
(63598246781123,222332)
(63598246786960,222366)
(64176503808085,809985)
(64176503832021,809986)
(64176503833185,809987)
(64176503837727,810011)
(64333096865113,284050)
(64526839320989,132968)
(64553297487852,115002)
(64553297493298,115021)
(65187178103260,151852)
(65187596418503,824037)
(65344315043853,347849)
(65344315045911,347856)
(65344315047969,348849)
(65344315050027,348856)
(65344315052085,351850)
(65344315054143,351851)
(65344315056201,352850)
(65344315058259,352851)
(65344315077115,344850)
(65344315079425,344851)
(65344315081735,344852)
(65344315084045,344853)
(65344315086355,344854)
(65344315088665,344855)
(65344315090975,344856)
(65344315093285,345856)
(65639837245954,779427)
(65639837246500,779428)
(65639837249191,779429)
(65639837251882,779430)
(65639837254573,779431)
(65639837257264,779432)
(65639837259955,779433)
(65639837262646,779434)
(65639837265337,779435)
(65639837268028,779436)
(65639837270719,779437)
(65639837273410,779438)
(65639837276101,779439)
(65639837278792,779440)
(65639837281483,779441)
(65639837284174,779442)
(65639837286865,779443)
(65639837289556,779444)
(65639837292247,779445)
(65639837294938,779446)
(65639837297629,779448)
(65639837300320,779449)
(65639837303011,779450)
(65639837305702,779451)
(65639837308393,779452)
(65639837330644,779453)
(65639837331190,779455)
(65639837333881,779456)
(65639837336572,779457)
(65639837339263,779458)
(65639837341954,779459)
(65639837344645,779460)
(65639837347336,779461)
(65639837350027,779462)
(65639837352718,779464)
(65639837355409,779465)
(65639837358100,779466)
(65639837360791,779467)
(65639837363482,779468)
(65639837366173,779469)
(65639837368864,779470)
(65639837371555,779471)
(65639837374246,779472)
(65639837376937,779473)
(65639837379628,779474)
(65639837382319,779475)
(65639837385010,779476)
(65639837387701,779477)
(65639837390392,779478)
(65639837393083,779479)
(65639837415334,779012)
(65639837415880,779013)
(65639837418571,779014)
(65639837421262,779015)
(65639837423953,779016)
(65639837426644,779017)
(65639837429335,779018)
(65639837432026,779019)
(66227280035153,211004)
(66227280041153,112118)
(66227280046153,181819)
(66381869151603,520049)
(66381870739974,706998)
(66672323083538,123623)
(66672323084084,345452)
(66672323086333,386010)
(66672323088582,345952)
(66672323090831,379565)
(66672323093080,345562)
(66672323095329,104565)
(66672323097578,212395)
(66672323099827,723447)
(66672323102076,645600)
